GeneSymbol,logFC,t,P.Value,adj.P.Val
Aldoa,0.6514976399594303,7.176525754013182,7.332114220580655e-11,1.1534780321146917e-09
Mup4l1,-1.8381684335631814,-7.116290694570476,8.614541496119533e-11,1.319162285808028e-09
Mims2,-0.7333466932021278,-7.232759870742222,8.726072348528195e-11,1.333511423966602e-09
Adora2b,-0.7992975510359841,-6.876685597835792,8.910151357993379e-11,1.3547233177534446e-09
Igfbp2,0.7151949168772296,7.014388612057436,8.987633343031762e-11,1.3651165730466821e-09
Scd,-1.4459737752274755,-7.118143522266005,9.071436813739557e-11,1.3750533553227711e-09
Lgals2,0.9114110235076076,7.0033643800065155,9.179881923395773e-11,1.3886775880275446e-09
Sult1c3,-0.91587223014972,-7.148346765969389,9.313841799632246e-11,1.4046813222207463e-09
Dact2,0.5052200275317329,6.9706289708465405,1.0794726537273972e-10,1.6037726288396811e-09
Insig2,-0.5444933309271551,-7.0823383658889085,1.1575482819140244e-10,1.7045354178854053e-09
Igf1,-0.6692474492825191,-7.198426196481508,1.159039699544466e-10,1.7050533869109885e-09
Abcc4,0.9105923957167166,7.040910046157803,1.2700286782663494e-10,1.8447474811206655e-09
Gpat3,1.0639557252576424,7.022806829411212,1.3334415771836396e-10,1.9274994624390755e-09
Spin1,0.5189690150803958,6.818917955627022,1.382661149835524e-10,1.985220101985535e-09
Atf3,0.8229712019920132,6.998053233723586,1.4249182228184344e-10,2.0341795354567363e-09
Lurap1l,0.6386074757597147,6.8099471076543825,1.4792476127186748e-10,2.0938975863108177e-09
Ppl,0.9306047058670703,7.134983150327661,1.522331515768453e-10,2.144595273767592e-09
Hdc,0.5999130659810383,6.884118040625449,1.59011158159279e-10,2.2291687999603033e-09
S100a11,0.6638160871503738,7.024549670297111,1.6815213312481043e-10,2.3272193003517936e-09
Eif2b3,0.5867938044999379,6.983711618658847,1.7709710194922815e-10,2.4330117008837488e-09
Coq8a,-0.7485641662153526,-7.1242562983730195,1.8513303176345222e-10,2.536424256605319e-09
Uri1,0.5006565539899768,6.816018800045435,2.025473699773773e-10,2.7410139688868287e-09
Acot1,1.8682267699749087,7.027161090091211,2.0722482110959483e-10,2.795573082615553e-09
Aass,-0.556990581431954,-6.982829757827889,2.2863651785315703e-10,3.062337460699268e-09
Zfand2a,0.572080133345195,6.827133569915665,2.341406057145342e-10,3.127658573299238e-09
Uroc1,-0.8066935808185782,-7.053052352868918,2.378678124269748e-10,3.1746122584477875e-09
Vldlr,0.5078903184750283,6.915644213967705,2.397524368871169e-10,3.1912243845802096e-09
Maff,0.5537123780142177,7.066959929936438,2.4114999218173694e-10,3.2012821943486837e-09
Dstl1,-0.5498985964956065,-6.877266026020244,2.600970152680321e-10,3.4164279591088924e-09
Snurf,0.6351312852524309,6.806957789317156,2.6707271088554096e-10,3.501906071479911e-09
Thop1,0.5202162857733326,6.852704228861609,2.714331318400869e-10,3.5466472362092054e-09
Pvt1,0.748267864835948,6.9941685822023345,2.737385357569575e-10,3.570533769363419e-09
Epcam,0.7501263116952304,6.854704307886001,2.805537515604988e-10,3.656241007923887e-09
Id1,0.6910682613161221,6.949641764136623,2.8319443651746484e-10,3.68423649107634e-09
RT1-Da,0.5533166298185979,6.657607590779718,3.047106720791446e-10,3.935158195758487e-09
Ezr,0.6378747849549198,6.8667041220183345,3.0765805729796215e-10,3.964575534224644e-09
RT1-S3,-0.6326849569426063,-6.871982612884476,3.104895096383409e-10,3.997619237262667e-09
Jun,0.6022638905183575,6.650506338035226,3.1681776485081443e-10,4.05814261980568e-09
Dio1,-0.6905440284749051,-6.676947010755632,3.501023149781484e-10,4.427625303793811e-09
C7,0.5563644502100695,6.684763808528272,3.538227101518442e-10,4.467123684879106e-09
Entpd8,-0.5151030255019382,-6.763222268231188,3.591500419909515e-10,4.519128493041736e-09
Spsb4,0.5234392776895538,6.860486503021156,3.61112166145647e-10,4.539999258575651e-09
Dbp,0.6209659636890654,6.8937006657313376,3.6176226430112255e-10,4.544353682795209e-09
Sri,0.5392915785034926,6.729084915155083,3.7716916289932143e-10,4.710206883252711e-09
Pir,0.6716870017069141,6.650513061288433,4.019824915505326e-10,5.003377750488784e-09
Cyp4b1,0.7027077620342865,6.816884352133757,4.0592046411159673e-10,5.044000052801992e-09
Cela1,-0.7041323597810436,-6.761117539523072,4.1516834059522363e-10,5.146092413956206e-09
Cyp2d3,-0.5623935089615291,-6.914322129894123,4.4235393309879405e-10,5.442481244318304e-09
S100a6,0.5393522632930932,6.658973238075051,5.014581962089354e-10,6.089542267436593e-09
Pklr,-0.9529878101674605,-6.795931562128169,5.64405911166863e-10,6.766087209108523e-09
Otc,-0.6336611206368303,-6.874164619158166,5.639665310276739e-10,6.766087209108523e-09
Cyp3a9,-1.289526693179928,-6.587839555903807,6.050647647133098e-10,7.167358626188304e-09
Dmxl2,-0.5831017053906473,-6.532750240908673,6.57059579086045e-10,7.703972071086458e-09
